dataset,fold,role,rows,positives,negatives,sha256
aBiofilm,2,train_pos,2076,2076,0,5e8d20d35ea519fdfc2191173b1c2030084d77bcae327cde7454eef99d192e1e
aBiofilm,2,val_pos,231,231,0,35ddddae9fecbd74ca1430c556a22cfd12a9e1685407118648f164467f5d88a2
aBiofilm,2,test_pos,577,577,0,0b63bb9cbebe4e877aba1f279f8b1f740b1b5b98b91cdecf55274d9a311dfdb0
aBiofilm,2,train_neg,2076,0,2076,4b4c97bfdbd19efaa0e0c3ba62c742fed1d4093e8f52ac56bfdefd74d8486374
aBiofilm,2,val_neg,231,0,231,5ca1144471ec47b5810f8ff19e8d8ca88c880c17ffbef18f65c4138e6a48defa
aBiofilm,2,test_neg,577,0,577,3711de89707bbfc93fe3f638999e8912c481ab60781a084df1af17774a76b296
aBiofilm,3,train,4152,2076,2076,ae4225d6c5655abe9f76287e436f537f9a3e4ee54a7777e60d3108f310eeb256
aBiofilm,3,val,462,231,231,fb4645933395304b92f920edce770b2133339b84c4c4688be3157c053efdd444
aBiofilm,3,test,1154,577,577,c15ca6a4202c384f21da604dfad83731407dea9559aa38669455e9c6d2179d55
aBiofilm,3,train_pos,2076,2076,0,a0b95b2a67fddb179ca4eb9a5a73b2bdde238c3e9e4988493e5f73e2d024e5e1
aBiofilm,3,val_pos,231,231,0,046855ad6359c88b8b504c1340c0f23ef3a5885907fd3b95e0283c80d06e4583
aBiofilm,3,test_pos,577,577,0,41bef8af9b57e97ec8e434d557cf0d6777bd07731d082d2f1a49b8e8d3d736b8
aBiofilm,3,train_neg,2076,0,2076,5422ce81e24c9ecb27c72adac1ec824ddaf8b7db794a0b25890f9d69160caec1
aBiofilm,3,val_neg,231,0,231,0f4eadbd5b76581f2e3f6fde2dfa2c19cb4b08cbdd25b0a875a641458d8bc4a3
aBiofilm,3,test_neg,577,0,577,38de3a5b7b8575151f6f5bb65a50fd2863600c632d930b8476165756ef5f6a80
aBiofilm,4,train,4152,2076,2076,ed3aa98ab1ad4dd02a0959bee1b6ed38e46d78e0eb853efaf4e1b45ec9473ef2
aBiofilm,4,val,462,231,231,958abd6ad6e52f66122e0aa956717a5f2c3d8e2a139f11c9e360323ea06789f8
aBiofilm,4,test,1154,577,577,423d1748c1e26bd06c243ef97e774e47f3168308da60cd8c1028250f3a7a4720
aBiofilm,4,train_pos,2076,2076,0,d2f4ece25288ebb8cd952ecbc51a7b166357ca70c711001e8de1c62d61394728
aBiofilm,4,val_pos,231,231,0,b90687e6f2e7f3f6cf84e61d50d10db8d03ada28cfd5450cbcc43e2dc546c15f
aBiofilm,4,test_pos,577,577,0,91f24a20748003e4b0934d48fc1e852e309e268fb750fbb2b153f7505f95a8b0
aBiofilm,4,train_neg,2076,0,2076,d3937abc8ebdd1b01c921a2b736e5b814b68e176b558e34555f7487bc9984c61
aBiofilm,4,val_neg,231,0,231,a156858f0ab3187736e18d198ce41c7fc59cf2645f0b2395079360f48100ba06
aBiofilm,4,test_neg,577,0,577,277d0fe31c52085e718b8e8cee9b41978f1a39063c23335538a6c98039ac0fc2
aBiofilm,5,train,4154,2077,2077,fa7ae03d6145795340c5b4f6d8efe29e803195da2297d5d3363fca7c25df6646
aBiofilm,5,val,462,231,231,eefe93b29a9308413d3a96dd2413d4344e36a8033efe9804328e55e1276285db
aBiofilm,5,test,1152,576,576,b5e2b5e38170f12cfe7118a1eaeaffd276ffd224a2324a12efa5087ccee51ef4
aBiofilm,5,train_pos,2077,2077,0,71f4db0fbe55277020e1140b68a178d9201bfad7fbf409e7fe55e37e111e757e
aBiofilm,5,val_pos,231,231,0,e22b31a4f039490a6532d8685ffd3d6a0a99497a14416224db1f78143ef9b904
aBiofilm,5,test_pos,576,576,0,3031f66d123a7c852533a6b5dd9c86c65493f30fa55b658c6f0404f051a7c7ad
aBiofilm,5,train_neg,2077,0,2077,65bc3f5a1fd6e32a0cd42af91d2fbe00fe3d0c9acd02f7f3d7dcaf476cc80dcd
aBiofilm,5,val_neg,231,0,231,9ddc166a0a60a7da5f0a6feaec3d31d64328338e85091e32d4c5c782643579b3
aBiofilm,5,test_neg,576,0,576,7c84ba99cc3ed9fb25450912104188540dcf733f7c1ba8430a55802e61da3d73
MDAD2470,1,train,3556,1778,1778,9cfea29cccf1407daaeade60c192d2b5b0ab9ea336ff7e638b8a651aaecc8c93
MDAD2470,1,val,396,198,198,ea404c5b73272be1d02e08313b627efc613ffef766aeabd5035c55ef704d588c
MDAD2470,1,test,988,494,494,3f04b4dd84b9848be5420f44e75473807ec945c0edf3ea2d62a9b8ff0af7752a
MDAD2470,1,train_pos,1778,1778,0,1db69b83bddcaaa2135a2b37e0f81fed495b0bfd900826594e3aa3ed5191e5ea
MDAD2470,1,val_pos,198,198,0,fa79a7790d9698f7e4759b17d4f720a4ec649af790a6514f53ea6fd4d51dc687
MDAD2470,1,test_pos,494,494,0,5084e1bdfd61256900b1b2d525bfae7570f9145a4716a7b023802f701c70415f
MDAD2470,1,train_neg,1778,0,1778,e3b88b5beb277eeb269c9e6cd08773331160f807e59189768664ed0e3631e5aa
MDAD2470,1,val_neg,198,0,198,181d1b0b750f693d841aa842b829e6f023dedbb690696a1b7c66429f0befb17d
MDAD2470,1,test_neg,494,0,494,a4761e97440cf3338d3f05a92fd41f356ebc1c2c26950f69e515d2d5fedacce3
MDAD2470,2,train,3556,1778,1778,ca7b1f8a70c5b31549b6f485506512fcc596126f2df592463bc04545d9150024
MDAD2470,2,val,396,198,198,f58b11d520a71250a1f9cbc956b4868dcee3b6fca0ec2378b8c67fff401d9af4
MDAD2470,2,test,988,494,494,e981eda2aaf95cabb3c512ad03e016cca9b6251bf02dc84614b75c507381fc57
MDAD2470,2,train_pos,1778,1778,0,9bad993c2f9292e60fbfd4bd000455a2224b5f5026e0d617f53bd3d711c0deba
MDAD2470,2,val_pos,198,198,0,e1e44e1ae446a80aabb768eb105a0b0cb5ec6738fb0ea2febc3dd301c3dd6e0e
MDAD2470,2,test_pos,494,494,0,649288b5bd40e072ed28b60616714abfce85089c9005bbc85504d220473125b1
MDAD2470,2,train_neg,1778,0,1778,c908de019c67146142cf5e49fdade9ab82615f78254def6cee2e301eb10f89a3
MDAD2470,2,val_neg,198,0,198,2baf7ed319ede0919b3632b0c53be3b096d9ace1ac0a5fccff3bfcfb41abfefd
MDAD2470,2,test_neg,494,0,494,350d0766a4b8ef30ec456f11354c49de9581461b83d1f5a6c4dcfcd08c7567c1
MDAD2470,3,train,3556,1778,1778,66736d4964d62597d9df46297761d74eb5a0e1028c02aa8cb250135a2ca428e0
MDAD2470,3,val,396,198,198,51ba3c09a06fb768d6ff3a16846ff38cfe783fa166f71a9ba43880558e11f725
MDAD2470,3,test,988,494,494,7ac71e589c53d76be1c7406673102f2051a017507c9d247a88a8a6fa71f2127c
MDAD2470,3,train_pos,1778,1778,0,37d9062a0f06413eb69b4fc5a300bcf5e3c454d7f28513ea8f85c402ecec29ec
MDAD2470,3,val_pos,198,198,0,967c95f678387d45954f7a29a459effc4ad8962ff7fb857247a7f0f18a8a2644
MDAD2470,3,test_pos,494,494,0,a1a77e79a057c435d30d9bd62ac2973af786272c05f570e83539f260f6c372d6
MDAD2470,3,train_neg,1778,0,1778,37f06c3b3f031fa5a5653992cffa4e354ec16ba1b42c4688b0e22741eb3f6f86
MDAD2470,3,val_neg,198,0,198,0e5406f5f75aee7fcacd553589e1543901c553ed215d089fd8c976b1b4139e01
MDAD2470,3,test_neg,494,0,494,ef04f4a6b04bd4d4a5f157233cb9ca3b14b50d5cf83fb43e2d3765b4161db801
MDAD2470,4,train,3556,1778,1778,342f97359669f9e04f50807bb7e9ead8ca4cd60c377471e48004f51744521780
MDAD2470,4,val,396,198,198,bdef527ac9477ac6377863f25b2f95be1ad22735d8b64d573bd7a1ca19fba2d7
MDAD2470,4,test,988,494,494,4b3eb9e10b415dff7eccf08f08c9162ae7e8c5dc4ca45326a741734f2000f64b
MDAD2470,4,train_pos,1778,1778,0,b4e1ba9af578379e95263cfaea36fe2dfd8d0ccd20e7897b17caf8b8fd44379f
MDAD2470,4,val_pos,198,198,0,0db948f57223e554be09262dc63998096ac9370b00db39a2b48a6a61e219ab46
MDAD2470,4,test_pos,494,494,0,5780e47a68c8da6fb7500fffa58edc89345330fed9522d5b3378e2922bfab346
MDAD2470,4,train_neg,1778,0,1778,a2fec35ba4e1fdf1701aa11498966131fb05105fcb127bb79f89990b820128be
MDAD2470,4,val_neg,198,0,198,6d6089d69b30810c3391ece4bd6d5c32a513ec02fc2887f4d1f9b63abab61fc8
MDAD2470,4,test_neg,494,0,494,c5c3d62c52bb18ee47490efaa0daaf33f6dfe5276de264f7c37d1e0bfbe2ae60
MDAD2470,5,train,3556,1778,1778,57fe9b269eafaeddfbd9c84f1db466937cdc5a2f5dffdfb457a6e159f6ff5e6c
MDAD2470,5,val,396,198,198,8b2fc43971a7cdd9da59a3708bb55f2be4d40dd56016717302dbea4b9295d2de
MDAD2470,5,test,988,494,494,5802cd893e98d563977ac295a2b8a340aafb3fe3b42ff67403e456da3e224696
MDAD2470,5,train_pos,1778,1778,0,e08839c96b2af5976e9f9a0f77b8347ada35733dd91d7a07d7f870391707e96b
MDAD2470,5,val_pos,198,198,0,9b40551be8bef68a3fa21850503b404deba4a3bb08c41f4bf94d47c6595f1b89
MDAD2470,5,test_pos,494,494,0,7718bc7120da721fed4768482fceba8cddb348b125535e342f13bdcb3286a4b7
MDAD2470,5,train_neg,1778,0,1778,9097a2bd26d1a267c294f5d48788219e863b39db2400de8f2ff3b6c3ffaaf0b4
MDAD2470,5,val_neg,198,0,198,007ceb3460e1a33a71e38e8d1b902e385a7ca0bd38309203dce6d2eb6be05572
MDAD2470,5,test_neg,494,0,494,5716bbf074ffce9ae9f585d125dfe55dc7bb39d1307bbc8b75c7600e8e712664
