dataset,fold,file_role,repository_path,rows,positives,negatives,sha256
IMDAD,4,test,data/IMDAD/folds/fold_4/test.csv,906,453,453,17cf4eb1f548f0c3eaf3b59ca3397a13b0e8dd65ae3f3401f46f241f95466a2e
IMDAD,4,train_pos,data/IMDAD/folds/fold_4/train_pos.csv,1633,1633,0,717397f9ce9ce21a2586c7d5478c2c8f3eb4a833e9a375042b5ed75b3a1ac581
IMDAD,4,test_pos,data/IMDAD/folds/fold_4/test_pos.csv,453,453,0,b2105d92179bc7a3b7aac9d3389449845058b6a97aaf7344d053697f9902b826
IMDAD,4,test_neg,data/IMDAD/folds/fold_4/test_neg.csv,453,0,453,7c5000276f520e4322b6afe14ee056acc5b39b61081684065faf9502873701e5
IMDAD,5,train,data/IMDAD/folds/fold_5/train.csv,3266,1633,1633,3911b0c3cf483a820090fda8f801bc2f5afc87f32f7c05299e7413d535299872
IMDAD,5,val,data/IMDAD/folds/fold_5/val.csv,364,182,182,d0f9174adf016cdb823b35d9d4704ef47178560842324821552af48aa54fc549
IMDAD,5,test,data/IMDAD/folds/fold_5/test.csv,906,453,453,97b55e5845928f79bc947bf8ecb62cd25cda9d45628dd23644f0b978b3ef60d5
IMDAD,5,train_pos,data/IMDAD/folds/fold_5/train_pos.csv,1633,1633,0,0c8b7d84b056678ebf7595f062a4ebda144044fc94beceb7b85a6328ff281350
IMDAD,5,test_pos,data/IMDAD/folds/fold_5/test_pos.csv,453,453,0,bb287c557c9204e1de6511472d8a7014916981785fa9d6461c0f2ec0dc71503a
IMDAD,5,test_neg,data/IMDAD/folds/fold_5/test_neg.csv,453,0,453,405856ffdad996eebf11b9759005c4b516297e0bf0966db79e40912e1830ed55
aBiofilm,1,train,data/aBiofilm/folds/fold_1/train.csv,4152,2076,2076,9a147810075669ca18e48850b4b5abf4ffb98a37360ab58e379cd8981897c9a7
aBiofilm,1,val,data/aBiofilm/folds/fold_1/val.csv,462,231,231,274a2650c18d40e09d654a192a8b15fecd491a0b8d49aaa472ee7afd4b8ccf78
aBiofilm,1,test,data/aBiofilm/folds/fold_1/test.csv,1154,577,577,ecd6f2360bd942e880df0f3142808ed597787f6455ef2ec76fc6c4dd42aad050
aBiofilm,1,train_pos,data/aBiofilm/folds/fold_1/train_pos.csv,2076,2076,0,70ad98efbd88cb2cd0a98bd04a564fb5d6902a8b86f7a2a6a71f9307c3032438
aBiofilm,1,test_pos,data/aBiofilm/folds/fold_1/test_pos.csv,577,577,0,ff77f71e63ed3d5f41748454ce4a0585d7e5a101f27f99d95fb2b1701b9ebd4f
aBiofilm,1,test_neg,data/aBiofilm/folds/fold_1/test_neg.csv,577,0,577,66aa453212cfccd78c6967a068e35221ea04741bf0740e8e1422ff9c3e2668f1
aBiofilm,2,train,data/aBiofilm/folds/fold_2/train.csv,4152,2076,2076,d7463b2f130b241fcafb9b072ab42496225fd67be0587c97526f2353120eab5e
aBiofilm,2,val,data/aBiofilm/folds/fold_2/val.csv,462,231,231,02e14e42447d0711d5d3c898313b5c6797871751782be8a213ef70f8381f7189
aBiofilm,2,test,data/aBiofilm/folds/fold_2/test.csv,1154,577,577,d5a236d56a8cc40a05c10720c9a2f717cc29bff021e107fe1bfb330852bcf443
aBiofilm,2,train_pos,data/aBiofilm/folds/fold_2/train_pos.csv,2076,2076,0,5e8d20d35ea519fdfc2191173b1c2030084d77bcae327cde7454eef99d192e1e
aBiofilm,2,test_pos,data/aBiofilm/folds/fold_2/test_pos.csv,577,577,0,0b63bb9cbebe4e877aba1f279f8b1f740b1b5b98b91cdecf55274d9a311dfdb0
aBiofilm,2,test_neg,data/aBiofilm/folds/fold_2/test_neg.csv,577,0,577,3711de89707bbfc93fe3f638999e8912c481ab60781a084df1af17774a76b296
aBiofilm,3,train,data/aBiofilm/folds/fold_3/train.csv,4152,2076,2076,ae4225d6c5655abe9f76287e436f537f9a3e4ee54a7777e60d3108f310eeb256
aBiofilm,3,val,data/aBiofilm/folds/fold_3/val.csv,462,231,231,fb4645933395304b92f920edce770b2133339b84c4c4688be3157c053efdd444
aBiofilm,3,test,data/aBiofilm/folds/fold_3/test.csv,1154,577,577,c15ca6a4202c384f21da604dfad83731407dea9559aa38669455e9c6d2179d55
aBiofilm,3,train_pos,data/aBiofilm/folds/fold_3/train_pos.csv,2076,2076,0,a0b95b2a67fddb179ca4eb9a5a73b2bdde238c3e9e4988493e5f73e2d024e5e1
aBiofilm,3,test_pos,data/aBiofilm/folds/fold_3/test_pos.csv,577,577,0,41bef8af9b57e97ec8e434d557cf0d6777bd07731d082d2f1a49b8e8d3d736b8
aBiofilm,3,test_neg,data/aBiofilm/folds/fold_3/test_neg.csv,577,0,577,38de3a5b7b8575151f6f5bb65a50fd2863600c632d930b8476165756ef5f6a80
aBiofilm,4,train,data/aBiofilm/folds/fold_4/train.csv,4152,2076,2076,ed3aa98ab1ad4dd02a0959bee1b6ed38e46d78e0eb853efaf4e1b45ec9473ef2
aBiofilm,4,val,data/aBiofilm/folds/fold_4/val.csv,462,231,231,958abd6ad6e52f66122e0aa956717a5f2c3d8e2a139f11c9e360323ea06789f8
aBiofilm,4,test,data/aBiofilm/folds/fold_4/test.csv,1154,577,577,423d1748c1e26bd06c243ef97e774e47f3168308da60cd8c1028250f3a7a4720
aBiofilm,4,train_pos,data/aBiofilm/folds/fold_4/train_pos.csv,2076,2076,0,d2f4ece25288ebb8cd952ecbc51a7b166357ca70c711001e8de1c62d61394728
aBiofilm,4,test_pos,data/aBiofilm/folds/fold_4/test_pos.csv,577,577,0,91f24a20748003e4b0934d48fc1e852e309e268fb750fbb2b153f7505f95a8b0
aBiofilm,4,test_neg,data/aBiofilm/folds/fold_4/test_neg.csv,577,0,577,277d0fe31c52085e718b8e8cee9b41978f1a39063c23335538a6c98039ac0fc2
aBiofilm,5,train,data/aBiofilm/folds/fold_5/train.csv,4154,2077,2077,fa7ae03d6145795340c5b4f6d8efe29e803195da2297d5d3363fca7c25df6646
aBiofilm,5,val,data/aBiofilm/folds/fold_5/val.csv,462,231,231,eefe93b29a9308413d3a96dd2413d4344e36a8033efe9804328e55e1276285db
aBiofilm,5,test,data/aBiofilm/folds/fold_5/test.csv,1152,576,576,b5e2b5e38170f12cfe7118a1eaeaffd276ffd224a2324a12efa5087ccee51ef4
aBiofilm,5,train_pos,data/aBiofilm/folds/fold_5/train_pos.csv,2077,2077,0,71f4db0fbe55277020e1140b68a178d9201bfad7fbf409e7fe55e37e111e757e
aBiofilm,5,test_pos,data/aBiofilm/folds/fold_5/test_pos.csv,576,576,0,3031f66d123a7c852533a6b5dd9c86c65493f30fa55b658c6f0404f051a7c7ad
aBiofilm,5,test_neg,data/aBiofilm/folds/fold_5/test_neg.csv,576,0,576,7c84ba99cc3ed9fb25450912104188540dcf733f7c1ba8430a55802e61da3d73
MDAD-2470,1,train,data/MDAD2470/folds/fold_1/train.csv,3556,1778,1778,9cfea29cccf1407daaeade60c192d2b5b0ab9ea336ff7e638b8a651aaecc8c93
MDAD-2470,1,val,data/MDAD2470/folds/fold_1/val.csv,396,198,198,ea404c5b73272be1d02e08313b627efc613ffef766aeabd5035c55ef704d588c
MDAD-2470,1,test,data/MDAD2470/folds/fold_1/test.csv,988,494,494,3f04b4dd84b9848be5420f44e75473807ec945c0edf3ea2d62a9b8ff0af7752a
MDAD-2470,1,train_pos,data/MDAD2470/folds/fold_1/train_pos.csv,1778,1778,0,1db69b83bddcaaa2135a2b37e0f81fed495b0bfd900826594e3aa3ed5191e5ea
MDAD-2470,1,test_pos,data/MDAD2470/folds/fold_1/test_pos.csv,494,494,0,5084e1bdfd61256900b1b2d525bfae7570f9145a4716a7b023802f701c70415f
MDAD-2470,1,test_neg,data/MDAD2470/folds/fold_1/test_neg.csv,494,0,494,a4761e97440cf3338d3f05a92fd41f356ebc1c2c26950f69e515d2d5fedacce3
MDAD-2470,2,train,data/MDAD2470/folds/fold_2/train.csv,3556,1778,1778,ca7b1f8a70c5b31549b6f485506512fcc596126f2df592463bc04545d9150024
MDAD-2470,2,val,data/MDAD2470/folds/fold_2/val.csv,396,198,198,f58b11d520a71250a1f9cbc956b4868dcee3b6fca0ec2378b8c67fff401d9af4
MDAD-2470,2,test,data/MDAD2470/folds/fold_2/test.csv,988,494,494,e981eda2aaf95cabb3c512ad03e016cca9b6251bf02dc84614b75c507381fc57
MDAD-2470,2,train_pos,data/MDAD2470/folds/fold_2/train_pos.csv,1778,1778,0,9bad993c2f9292e60fbfd4bd000455a2224b5f5026e0d617f53bd3d711c0deba
MDAD-2470,2,test_pos,data/MDAD2470/folds/fold_2/test_pos.csv,494,494,0,649288b5bd40e072ed28b60616714abfce85089c9005bbc85504d220473125b1
MDAD-2470,2,test_neg,data/MDAD2470/folds/fold_2/test_neg.csv,494,0,494,350d0766a4b8ef30ec456f11354c49de9581461b83d1f5a6c4dcfcd08c7567c1
MDAD-2470,3,train,data/MDAD2470/folds/fold_3/train.csv,3556,1778,1778,66736d4964d62597d9df46297761d74eb5a0e1028c02aa8cb250135a2ca428e0
MDAD-2470,3,val,data/MDAD2470/folds/fold_3/val.csv,396,198,198,51ba3c09a06fb768d6ff3a16846ff38cfe783fa166f71a9ba43880558e11f725
MDAD-2470,3,test,data/MDAD2470/folds/fold_3/test.csv,988,494,494,7ac71e589c53d76be1c7406673102f2051a017507c9d247a88a8a6fa71f2127c
MDAD-2470,3,train_pos,data/MDAD2470/folds/fold_3/train_pos.csv,1778,1778,0,37d9062a0f06413eb69b4fc5a300bcf5e3c454d7f28513ea8f85c402ecec29ec
MDAD-2470,3,test_pos,data/MDAD2470/folds/fold_3/test_pos.csv,494,494,0,a1a77e79a057c435d30d9bd62ac2973af786272c05f570e83539f260f6c372d6
MDAD-2470,3,test_neg,data/MDAD2470/folds/fold_3/test_neg.csv,494,0,494,ef04f4a6b04bd4d4a5f157233cb9ca3b14b50d5cf83fb43e2d3765b4161db801
MDAD-2470,4,train,data/MDAD2470/folds/fold_4/train.csv,3556,1778,1778,342f97359669f9e04f50807bb7e9ead8ca4cd60c377471e48004f51744521780
MDAD-2470,4,val,data/MDAD2470/folds/fold_4/val.csv,396,198,198,bdef527ac9477ac6377863f25b2f95be1ad22735d8b64d573bd7a1ca19fba2d7
MDAD-2470,4,test,data/MDAD2470/folds/fold_4/test.csv,988,494,494,4b3eb9e10b415dff7eccf08f08c9162ae7e8c5dc4ca45326a741734f2000f64b
MDAD-2470,4,train_pos,data/MDAD2470/folds/fold_4/train_pos.csv,1778,1778,0,b4e1ba9af578379e95263cfaea36fe2dfd8d0ccd20e7897b17caf8b8fd44379f
MDAD-2470,4,test_pos,data/MDAD2470/folds/fold_4/test_pos.csv,494,494,0,5780e47a68c8da6fb7500fffa58edc89345330fed9522d5b3378e2922bfab346
MDAD-2470,4,test_neg,data/MDAD2470/folds/fold_4/test_neg.csv,494,0,494,c5c3d62c52bb18ee47490efaa0daaf33f6dfe5276de264f7c37d1e0bfbe2ae60
MDAD-2470,5,train,data/MDAD2470/folds/fold_5/train.csv,3556,1778,1778,57fe9b269eafaeddfbd9c84f1db466937cdc5a2f5dffdfb457a6e159f6ff5e6c
MDAD-2470,5,val,data/MDAD2470/folds/fold_5/val.csv,396,198,198,8b2fc43971a7cdd9da59a3708bb55f2be4d40dd56016717302dbea4b9295d2de
MDAD-2470,5,test,data/MDAD2470/folds/fold_5/test.csv,988,494,494,5802cd893e98d563977ac295a2b8a340aafb3fe3b42ff67403e456da3e224696
MDAD-2470,5,train_pos,data/MDAD2470/folds/fold_5/train_pos.csv,1778,1778,0,e08839c96b2af5976e9f9a0f77b8347ada35733dd91d7a07d7f870391707e96b
MDAD-2470,5,test_pos,data/MDAD2470/folds/fold_5/test_pos.csv,494,494,0,7718bc7120da721fed4768482fceba8cddb348b125535e342f13bdcb3286a4b7
MDAD-2470,5,test_neg,data/MDAD2470/folds/fold_5/test_neg.csv,494,0,494,5716bbf074ffce9ae9f585d125dfe55dc7bb39d1307bbc8b75c7600e8e712664
